Run,Algorithm,Size,Type,Time_sec,Memory_MB,CPU_percent,Status
1,Quick Sort,10000,random,0.01709789998130873,0.53515625,12.5,Success
1,Timsort,10000,random,0.0010914000449702144,0.0,0.0,Success
2,Quick Sort,10000,random,0.01725939998868853,0.015625,12.5,Success
2,Timsort,10000,random,0.0010858000023290515,0.0,50.0,Success
3,Quick Sort,10000,random,0.017670500034000725,0.03125,10.0,Success
3,Timsort,10000,random,0.0010902000358328223,0.0,0.0,Success
4,Quick Sort,10000,random,0.01660129998344928,0.01953125,12.5,Success
4,Timsort,10000,random,0.001083900046069175,0.0,0.0,Success
5,Quick Sort,10000,random,0.01677439996274188,0.0,22.2,Success
5,Timsort,10000,random,0.0010867000091820955,0.0,0.0,Success
6,Quick Sort,10000,random,0.01673769997432828,0.0,11.1,Success
6,Timsort,10000,random,0.0010830999817699194,0.0,0.0,Success
7,Quick Sort,10000,random,0.0166488999966532,0.0,10.0,Success
7,Timsort,10000,random,0.0010813999688252807,0.0,0.0,Success
8,Quick Sort,10000,random,0.017194500018376857,0.00390625,11.1,Success
8,Timsort,10000,random,0.0010868000099435449,0.0,100.0,Success
9,Quick Sort,10000,random,0.017144599987659603,0.00390625,7.7,Success
9,Timsort,10000,random,0.0012457999982871115,0.0,0.0,Success
10,Quick Sort,10000,random,0.01830820000031963,0.0234375,12.5,Success
10,Timsort,10000,random,0.0010516999755054712,0.0,0.0,Success
11,Quick Sort,10000,random,0.017105399980209768,0.0078125,20.0,Success
11,Timsort,10000,random,0.0011159000569023192,0.0,0.0,Success
12,Quick Sort,10000,random,0.017011000018101186,0.0,14.3,Success
12,Timsort,10000,random,0.0011573999654501677,0.0,0.0,Success
13,Quick Sort,10000,random,0.017094000009819865,0.0,20.0,Success
13,Timsort,10000,random,0.001122299989219755,0.0,0.0,Success
14,Quick Sort,10000,random,0.017258800042327493,0.0,8.3,Success
14,Timsort,10000,random,0.0010934000019915402,0.0,0.0,Success
15,Quick Sort,10000,random,0.01656999997794628,0.0,16.7,Success
15,Timsort,10000,random,0.001121399982366711,0.0,0.0,Success
16,Quick Sort,10000,random,0.016713500022888184,0.0,8.3,Success
16,Timsort,10000,random,0.001125000009778887,0.0,100.0,Success
17,Quick Sort,10000,random,0.01701319997664541,0.0390625,14.3,Success
17,Timsort,10000,random,0.0011223999899812043,0.0,0.0,Success
18,Quick Sort,10000,random,0.01666349999140948,0.0,16.7,Success
18,Timsort,10000,random,0.001123199996072799,0.0,0.0,Success
19,Quick Sort,10000,random,0.016521899960935116,0.0,11.1,Success
19,Timsort,10000,random,0.0010921999928541481,0.0,50.0,Success
20,Quick Sort,10000,random,0.01698230003239587,0.08203125,10.0,Success
20,Timsort,10000,random,0.0011546000023372471,0.0,0.0,Success
21,Quick Sort,10000,random,0.017427000042516738,0.0,11.1,Success
21,Timsort,10000,random,0.001124400005210191,0.0,0.0,Success
22,Quick Sort,10000,random,0.01674970000749454,0.0,16.7,Success
22,Timsort,10000,random,0.0011381999938748777,0.0,0.0,Success
23,Quick Sort,10000,random,0.01665609999326989,0.0,12.5,Success
23,Timsort,10000,random,0.0010874999570660293,0.0,0.0,Success
24,Quick Sort,10000,random,0.017067399981897324,0.0,11.1,Success
24,Timsort,10000,random,0.0010840000468306243,0.0,0.0,Success
25,Quick Sort,10000,random,0.01651079999282956,0.0,11.1,Success
25,Timsort,10000,random,0.0011211999808438122,0.0,100.0,Success
26,Quick Sort,10000,random,0.01670800003921613,0.0,8.3,Success
26,Timsort,10000,random,0.0011323000071570277,0.0,0.0,Success
27,Quick Sort,10000,random,0.016787400003522635,0.0,14.3,Success
27,Timsort,10000,random,0.0010879000183194876,0.0,0.0,Success
28,Quick Sort,10000,random,0.017125399957876652,0.0,9.1,Success
28,Timsort,10000,random,0.0010952000156976283,0.0,50.0,Success
29,Quick Sort,10000,random,0.01745749998372048,0.0,9.1,Success
29,Timsort,10000,random,0.0010948999552056193,0.0,0.0,Success
30,Quick Sort,10000,random,0.016787000000476837,0.0,12.5,Success
30,Timsort,10000,random,0.0010935000027529895,0.0,0.0,Success
1,Quick Sort,10000,partially_sorted,0.012374899990390986,0.0,12.5,Success
1,Timsort,10000,partially_sorted,0.0002774999593384564,0.0,0.0,Success
2,Quick Sort,10000,partially_sorted,0.012389499985147268,0.0,25.0,Success
2,Timsort,10000,partially_sorted,0.00027899997076019645,0.0,0.0,Success
3,Quick Sort,10000,partially_sorted,0.012267099984455854,0.0,11.1,Success
3,Timsort,10000,partially_sorted,0.00028009997913613915,0.0,0.0,Success
4,Quick Sort,10000,partially_sorted,0.012237299990374595,0.0,10.0,Success
4,Timsort,10000,partially_sorted,0.0002771999570541084,0.0,0.0,Success
5,Quick Sort,10000,partially_sorted,0.012381100037600845,0.0,20.0,Success
5,Timsort,10000,partially_sorted,0.00028089998522773385,0.0,0.0,Success
6,Quick Sort,10000,partially_sorted,0.012411899981088936,0.0,12.5,Success
6,Timsort,10000,partially_sorted,0.00028740003472194076,0.0,0.0,Success
7,Quick Sort,10000,partially_sorted,0.01221859996439889,0.0,0.0,Success
7,Timsort,10000,partially_sorted,0.0002791000297293067,0.0,0.0,Success
8,Quick Sort,10000,partially_sorted,0.01223509997362271,0.0,50.0,Success
8,Timsort,10000,partially_sorted,0.00027979997685179114,0.0,0.0,Success
9,Quick Sort,10000,partially_sorted,0.012384600006043911,0.0,8.3,Success
9,Timsort,10000,partially_sorted,0.00027760001830756664,0.0,0.0,Success
10,Quick Sort,10000,partially_sorted,0.012228899984620512,0.0,12.5,Success
10,Timsort,10000,partially_sorted,0.0002771999570541084,0.0,0.0,Success
11,Quick Sort,10000,partially_sorted,0.012187200016342103,0.0,25.0,Success
11,Timsort,10000,partially_sorted,0.00027730001602321863,0.0,0.0,Success
12,Quick Sort,10000,partially_sorted,0.012350999983027577,0.0,9.1,Success
12,Timsort,10000,partially_sorted,0.0002783999661915004,0.0,0.0,Success
13,Quick Sort,10000,partially_sorted,0.012316299951635301,0.0,25.0,Success
13,Timsort,10000,partially_sorted,0.0003027999773621559,0.0,0.0,Success
14,Quick Sort,10000,partially_sorted,0.01226920000044629,0.0,33.3,Success
14,Timsort,10000,partially_sorted,0.00028009997913613915,0.0,0.0,Success
15,Quick Sort,10000,partially_sorted,0.012377500010188669,0.0,0.0,Success
15,Timsort,10000,partially_sorted,0.00028000003658235073,0.0,0.0,Success
16,Quick Sort,10000,partially_sorted,0.012313099985476583,0.0,20.0,Success
16,Timsort,10000,partially_sorted,0.0002798999776132405,0.0,0.0,Success
17,Quick Sort,10000,partially_sorted,0.012277200003154576,0.0,12.5,Success
17,Timsort,10000,partially_sorted,0.0002775000175461173,0.0,0.0,Success
18,Quick Sort,10000,partially_sorted,0.012287700024899095,0.0,12.5,Success
18,Timsort,10000,partially_sorted,0.00028029998065903783,0.0,0.0,Success
19,Quick Sort,10000,partially_sorted,0.012514800007920712,0.0,12.5,Success
19,Timsort,10000,partially_sorted,0.00027980003505945206,0.0,0.0,Success
20,Quick Sort,10000,partially_sorted,0.012363300018478185,0.0,12.5,Success
20,Timsort,10000,partially_sorted,0.00027630000840872526,0.0,0.0,Success
21,Quick Sort,10000,partially_sorted,0.012512299988884479,0.0,14.3,Success
21,Timsort,10000,partially_sorted,0.00028009997913613915,0.0,0.0,Success
22,Quick Sort,10000,partially_sorted,0.012384200002998114,0.0,12.5,Success
22,Timsort,10000,partially_sorted,0.0002730999840423465,0.0,0.0,Success
23,Quick Sort,10000,partially_sorted,0.012445100001059473,0.0,0.0,Success
23,Timsort,10000,partially_sorted,0.00032160000409930944,0.0,33.3,Success
24,Quick Sort,10000,partially_sorted,0.012397799990139902,0.0,0.0,Success
24,Timsort,10000,partially_sorted,0.000291300006210804,0.0,0.0,Success
25,Quick Sort,10000,partially_sorted,0.012601799971889704,0.0,77.8,Success
25,Timsort,10000,partially_sorted,0.0002818000502884388,0.0,0.0,Success
26,Quick Sort,10000,partially_sorted,0.012507200008258224,0.0,25.0,Success
26,Timsort,10000,partially_sorted,0.0003133999998681247,0.0,0.0,Success
27,Quick Sort,10000,partially_sorted,0.01245579996611923,0.0,14.3,Success
27,Timsort,10000,partially_sorted,0.0002825999981723726,0.0,0.0,Success
28,Quick Sort,10000,partially_sorted,0.012559800001326948,0.0,12.5,Success
28,Timsort,10000,partially_sorted,0.00028200005181133747,0.0,0.0,Success
29,Quick Sort,10000,partially_sorted,0.012456900032702833,0.0,12.5,Success
29,Timsort,10000,partially_sorted,0.0002780999639071524,0.0,0.0,Success
30,Quick Sort,10000,partially_sorted,0.012428499991074204,0.0,20.0,Success
30,Timsort,10000,partially_sorted,0.00028009997913613915,0.0,0.0,Success
1,Quick Sort,10000,corrupted,,,,Failed
1,Timsort,10000,corrupted,,,,Failed
2,Quick Sort,10000,corrupted,,,,Failed
2,Timsort,10000,corrupted,,,,Failed
3,Quick Sort,10000,corrupted,,,,Failed
3,Timsort,10000,corrupted,,,,Failed
4,Quick Sort,10000,corrupted,,,,Failed
4,Timsort,10000,corrupted,,,,Failed
5,Quick Sort,10000,corrupted,,,,Failed
5,Timsort,10000,corrupted,,,,Failed
6,Quick Sort,10000,corrupted,,,,Failed
6,Timsort,10000,corrupted,,,,Failed
7,Quick Sort,10000,corrupted,,,,Failed
7,Timsort,10000,corrupted,,,,Failed
8,Quick Sort,10000,corrupted,,,,Failed
8,Timsort,10000,corrupted,,,,Failed
9,Quick Sort,10000,corrupted,,,,Failed
9,Timsort,10000,corrupted,,,,Failed
10,Quick Sort,10000,corrupted,,,,Failed
10,Timsort,10000,corrupted,,,,Failed
11,Quick Sort,10000,corrupted,,,,Failed
11,Timsort,10000,corrupted,,,,Failed
12,Quick Sort,10000,corrupted,,,,Failed
12,Timsort,10000,corrupted,,,,Failed
13,Quick Sort,10000,corrupted,,,,Failed
13,Timsort,10000,corrupted,,,,Failed
14,Quick Sort,10000,corrupted,,,,Failed
14,Timsort,10000,corrupted,,,,Failed
15,Quick Sort,10000,corrupted,,,,Failed
15,Timsort,10000,corrupted,,,,Failed
16,Quick Sort,10000,corrupted,,,,Failed
16,Timsort,10000,corrupted,,,,Failed
17,Quick Sort,10000,corrupted,,,,Failed
17,Timsort,10000,corrupted,,,,Failed
18,Quick Sort,10000,corrupted,,,,Failed
18,Timsort,10000,corrupted,,,,Failed
19,Quick Sort,10000,corrupted,,,,Failed
19,Timsort,10000,corrupted,,,,Failed
20,Quick Sort,10000,corrupted,,,,Failed
20,Timsort,10000,corrupted,,,,Failed
21,Quick Sort,10000,corrupted,,,,Failed
21,Timsort,10000,corrupted,,,,Failed
22,Quick Sort,10000,corrupted,,,,Failed
22,Timsort,10000,corrupted,,,,Failed
23,Quick Sort,10000,corrupted,,,,Failed
23,Timsort,10000,corrupted,,,,Failed
24,Quick Sort,10000,corrupted,,,,Failed
24,Timsort,10000,corrupted,,,,Failed
25,Quick Sort,10000,corrupted,,,,Failed
25,Timsort,10000,corrupted,,,,Failed
26,Quick Sort,10000,corrupted,,,,Failed
26,Timsort,10000,corrupted,,,,Failed
27,Quick Sort,10000,corrupted,,,,Failed
27,Timsort,10000,corrupted,,,,Failed
28,Quick Sort,10000,corrupted,,,,Failed
28,Timsort,10000,corrupted,,,,Failed
29,Quick Sort,10000,corrupted,,,,Failed
29,Timsort,10000,corrupted,,,,Failed
